所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
组织机构,检查组织机构下拉框是否可用,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页","1. 使用谷歌浏览器打开项目
2. 点击组织机构下拉框
",下拉框，可以下拉,,高,功能测试,功能测试阶段,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段"
组织机构_部门管理,验证点击部门管理能否弹出页面,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮","1. 使用谷歌浏览器打开项目
2. 点击组织机构下拉框
3.点击部门管理",成功显示部门管理页面,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证添加部门按钮能否点击，
点击后能否弹出添加窗口","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入合理数据能否添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入收尾空格能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测  试 部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入特殊字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：￥￥￥￥
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入数字能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：11111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入过长字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：11111111111111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入和谐词能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：卧槽部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：abc
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入合理数据能否添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入收尾空格能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测 试 1 部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入特殊字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：￥￥￥
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入数字能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：11111
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入过长字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：11111111111111
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入和谐词能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：卧槽测试部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：abc
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出添加部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入合理数据能否添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入首尾空格能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2 / 1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入特殊字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：￥￥
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入数字能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：21
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入过长字符能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：2/111111111111111
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入和谐词能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：卧槽
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：abc
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证状态栏按钮点击正常能否成功添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：
状态：正常
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证状态栏按钮点击停用能否成功添加部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 java
部门经理  随机选择",弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证上级部门下拉框能否下拉，并选择，
选择后能否添加部门成功","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 随机选择
部门经理  随机选择",下拉框，可以下拉，弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证部门经理下拉框能否下拉，并选择，
选择后能否添加部门成功","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击添加按钮
6.成功弹出添加部门窗口","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 随机选择
部门经理  随机选择",下拉框，可以下拉，弹出提示添加成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证未选中仍以一行，点击编辑按钮能否弹出编辑框,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
",无法弹出编辑框，并友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证选中仍以一行，点击编辑按钮能否弹出编辑框,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
",成功弹出编辑窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入合理数据能否编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入收尾空格能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测  试 部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入特殊字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：￥￥￥￥
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入数字能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：11111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出编辑部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入过长字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：11111111111111
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门名称栏输入和谐词能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：卧槽部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：abc
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出编辑部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入合理数据能否编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入收尾空格能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测 试 1 部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入特殊字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：￥￥￥
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入数字能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：11111
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出编辑部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入过长字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：11111111111111
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门编号栏输入和谐词能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：卧槽测试部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：abc
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",成功弹出编辑部门窗口,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入合理数据能否编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：2/1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入首尾空格能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：2 / 1
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入特殊字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：￥￥
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入数字能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：21
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入过长字符能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：2/111111111111111
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证路径栏输入和谐词能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：卧槽
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑失败，并给出友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入英文能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：abc
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证部门栏输入为空能否正常编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证状态栏按钮点击正常能否成功编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：
状态：正常
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证状态栏按钮点击停用能否成功编辑部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 java
部门经理  随机选择",弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证上级部门下拉框能否下拉，并选择，
选择后能否编辑部门成功","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 随机选择
部门经理  随机选择",下拉框，可以下拉，弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,"验证部门经理下拉框能否下拉，并选择，
选择后能否编辑部门成功","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击编辑按钮
","部门名称：测试部
编号：测试1部
路径：
状态：停用
上级部门 随机选择
部门经理  随机选择",下拉框，可以下拉，弹出提示编辑成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证未选中仍以一行，点击删除按钮能否弹出删除提示框,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
",无法弹出删除提示框，并友好提示,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证选中仍以一行，点击删除按钮能否弹出删除提示框,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
",成功弹出删除提示框,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证点击删除按钮后，能否成功删除所选部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击删除按钮
",成功删除，并提示删除成功,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证点击高级查询按钮后能否弹出查询框,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击高级查询按钮
","1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击高级查询按钮
",成功弹出高级查询框,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证关键字栏输入合理数据能否查询部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击高级查询按钮
","关键字：测试部
状态：
上级部门：随机
部门经理：随机",成功匹配到该查询部门,,高,功能测试,功能测试阶段,,,
组织机构_部门管理,验证关键字栏输入收尾空格能否正常查询部门,"1.使用谷歌浏览器打开客户管理系统
2.成功进入系统首页
3.点击组织机构下拉按钮
4.点击部门管理进入部门管理界面
5.点击高级查询按钮
","关键字： 测 试 部
状态：
上级部门：随机
部门经理：随机",无法查询到改部门,,高,功能测试,功能测试阶段,,,
